P-FW1-MON,P-FW1-TUE,P-FW1-WED,P-FW1-THU,P-FW1-FRI,P-FW1-SAT,P-FW1-SUN,P-FW2-MON,P-FW2-TUE,P-FW2-WED,P-FW2-THU,P-FW2-FRI,P-FW2-SAT,P-FW2-SUN,P-FW3-MON,P-FW3-TUE,P-FW3-WED,P-FW3-THU,P-FW3-FRI,P-FW3-SAT,P-FW3-SUN,Euclidean Barycenter
12560.656,12417.112,12548.349,12627.707,11141.747,12294.033,11960.344,11377.223,11789.319,14101.983,14094.447,14014.158,12654.867,12121.716,13792.72,13641.557,16464.882,13590.432,13572.854,13002.609,12341.597,12957.633904761904
12531.753,12514.191,12564.789,12758.924,10988.009,12219.884,11911.151,11341.975,11703.373,14112.71,14046.594,13950.173,12676.058,12110.056,13501.812,13572.773,16472.201,13709.577,13557.526,12980.424,12074.928,12918.994333333332
12643.461,12483.979,12462.872,12554.262,10955.194,12255.696,11941.62,11375.268,11640.486,14167.467,14014.803,13779.22,12606.847,12227.879,13574.351,13587.769,16604.145,13854.646,13513.982,13029.542,12464.22,12939.890904761904
12598.0,12430.983,12557.672,12624.271,11132.577,12128.925,11866.798,11394.776,11614.854,14161.35,13917.027,13647.979,12411.303,12078.712,13616.792,13688.716,16622.88,13789.971,13632.945,13108.609,12359.295,12923.068333333333
12509.081,12615.783,12474.857,12772.349,10991.542,12243.49,11787.408,11369.448,11621.794,14156.842,13944.135,13541.309,12563.501,12054.79,13715.198,13504.904,16441.755,13676.406,13584.021,13001.608,12431.59,12904.848142857145
12486.314,12564.756,12534.83,12798.28,10962.74,12223.954,11685.479,11125.267,11647.234,14232.771,13936.448,13456.949,12451.265,12088.009,13689.057,13691.746,16469.028,13552.977,13470.556,13010.399,12307.156,12875.48642857143
12618.89,12628.444,12455.229,12454.639,10991.874,12372.671,11626.503,11131.904,11555.379,13931.206,13900.335,13421.076,12265.545,11960.9,13569.809,13617.398,16085.588,13569.021,13467.226,12855.772,12242.91,12796.300904761903
12419.893,12451.361,12408.672,12620.995,10826.091,11954.244,11780.824,10990.833,11450.922,13774.836,13511.756,13213.622,12173.561,12082.483,13374.255,13251.493,15951.517,13516.23,13350.613,12728.114,12280.147,12672.022000000003
12168.579,12284.457,12165.006,12443.859,10869.416,11949.741,11629.889,10926.3,11355.119,13575.937,13207.915,12976.883,12297.466,11927.779,13022.054,13158.336,15594.192,13236.426,12861.884,12711.311,12140.787,12500.158857142858
11946.567,12075.23,12032.638,12184.723,10986.144,11950.449,11528.886,10904.616,11291.723,13351.395,13236.188,12551.518,12230.243,11919.856,12776.335,12761.459,15529.651,13220.081,12773.202,12747.787,12023.948,12382.030428571428
11917.567,12073.724,11978.487,12150.259,10887.518,12018.787,11454.211,11103.763,11165.85,13203.812,12877.984,12631.823,11959.611,11911.998,12629.761,12714.432,15360.873,12908.964,12571.257,12749.941,12067.025,12301.792714285713
11975.311,12115.521,11848.113,12164.146,10897.412,12002.82,11342.248,11041.757,11263.047,12915.669,12685.208,12351.746,12037.729,11887.572,12619.68,12571.728,15091.287,12887.855,12457.81,12517.871,11966.909,12221.020904761905
11946.78,12047.223,11763.078,12193.3,10876.44,12159.022,11341.897,10934.214,11203.781,12961.967,12543.697,12425.21,12019.825,11790.92,12353.28,12588.367,14984.019,13020.764,12527.213,12415.268,12084.829,12199.099714285714
11860.482,12115.089,11997.494,12309.668,11838.164,12144.52,11469.113,10965.726,11169.566,12827.973,12633.224,12413.912,12213.737,11801.217,12433.224,12507.305,15105.868,12860.624,12475.807,12401.707,11966.414,12262.420666666665
12126.1,12373.032,12158.777,12371.415,12090.269,12284.166,11404.186,11136.046,11620.241,13106.302,12933.3,12548.862,12277.235,11919.53,12523.792,12673.055,15028.708,12998.866,12751.729,12366.37,12212.254,12424.01119047619
12478.43,12648.517,12530.893,12756.312,12451.1,12670.94,11869.765,11500.586,11995.675,13557.892,13445.743,12944.622,12624.83,12259.643,13101.041,13043.012,15516.615,13425.936,13192.959,12741.751,12399.354,12816.934095238092
13125.655,13584.661,13346.51,13504.124,13123.482,13343.232,12631.267,12260.078,12694.852,14140.597,14178.578,13581.085,13097.052,13010.914,13833.025,13976.526,16506.32,14134.79,13733.498,13500.334,13328.286,13554.04123809524
13503.192,13955.444,13736.44,13771.027,13473.887,13672.379,13144.632,12776.59,13199.603,14930.432,14717.852,14217.462,13714.47,13493.66,14362.284,14435.894,16923.628,15034.836,14509.904,14077.14,13858.522,14071.870380952381
13620.551,14168.669,13942.152,14051.705,13556.879,13694.38,13290.596,12954.973,13220.01,14980.984,14726.882,14167.878,13808.088,13816.732,14580.511,14905.449,17183.333,15142.717,14641.797,14110.566,14017.805,14218.221761904762
13597.066,14031.888,13908.767,14136.083,13560.723,13850.646,13452.918,12844.565,13320.741,14988.334,14855.265,14294.877,13717.644,13910.672,14674.471,15003.852,17251.368,15077.759,14803.485,14038.716,14146.37,14260.295714285712
13757.937,14266.662,13855.371,14033.43,13577.613,14022.159,13585.281,12831.161,13496.242,15166.238,14960.08,14386.044,13949.749,13883.029,14827.457,14902.335,17343.178,15262.95,14779.012,14237.225,14215.097,14349.440476190477
13809.027,14323.841,13979.465,14093.969,13642.718,14054.875,13376.189,12956.523,13532.545,15094.177,15135.757,14310.125,13996.211,14003.871,14922.716,14932.972,17355.628,15201.987,14842.126,14072.718,14261.439,14376.137095238097
13646.628,14075.532,13859.221,13970.017,13554.957,13828.435,13264.37,12952.596,13456.148,15011.533,15147.945,14135.727,13919.938,13966.023,14778.155,15043.263,17098.306,15386.134,14689.911,13970.625,14119.305,14279.750904761906
13568.612,14036.063,13773.462,13823.295,13360.78,13793.091,13360.589,12956.657,13422.846,14940.582,14817.26,13993.332,13686.314,13838.278,14764.615,15033.71,17369.627,14972.281,14740.623,13806.169,14208.734,14203.186666666666
13487.295,13827.957,13487.792,13748.699,13437.598,13701.639,12751.356,12907.865,13322.255,14702.511,14698.489,13893.566,13736.33,13923.49,14471.351,14922.07,17279.353,14808.524,14664.397,13770.209,14251.875,14085.458142857142
13369.338,13254.682,13283.806,13584.417,13404.32,13403.692,13084.632,12956.682,13390.958,14762.666,14638.109,13813.744,13734.625,13896.448,14548.558,14748.671,17293.643,14646.352,14372.925,13965.706,13891.532,14002.166952380954
13205.731,13313.928,13171.693,13292.144,13346.744,13205.963,13069.113,12962.547,13273.787,14313.968,14533.438,13792.633,13361.098,13695.59,14245.089,14447.584,17166.05,14528.077,14204.268,13723.54,13946.353,13847.587523809523
13131.73,13081.039,12939.009,13222.066,13146.255,13177.387,12939.515,12815.252,13310.979,14157.138,14304.175,13584.274,13459.754,13671.445,14149.016,14238.547,16869.376,14340.867,14151.093,13640.066,13789.733,13719.938857142855
12851.187,13009.306,12646.572,12977.561,12968.007,13224.59,12715.961,12783.403,13233.032,13824.104,14055.797,13257.941,13296.772,13490.286,13820.885,13938.896,16507.199,14138.06,13950.718,13524.802,13554.521,13512.838095238094
12595.118,12706.727,12867.107,12749.224,12851.972,13114.836,12859.321,12735.597,12976.125,13572.254,13858.321,13200.194,13214.505,13342.198,13608.525,13652.209,16323.918,13850.635,13611.425,13186.994,13254.227,13339.592
12360.145,12445.194,12412.563,12589.464,12655.791,13000.462,12576.81,12483.652,12898.793,13267.681,13534.423,12893.789,12969.36,13255.081,13314.705,13485.815,15810.983,13793.906,13443.908,13150.902,13170.992,13119.734238095238
12095.048,12201.146,12139.808,12510.509,12630.164,12708.618,12519.48,12420.884,12802.236,13046.417,13359.811,12651.724,12790.838,13153.751,13030.972,13437.518,15286.672,13401.131,13240.711,12906.793,12936.741,12917.665333333334
11765.583,11897.492,11852.157,12132.925,12341.024,12530.207,12382.851,12202.975,12562.985,12866.683,13166.125,12397.799,12538.789,12766.677,12795.687,12975.442,15171.841,12967.955,13059.35,12518.382,12613.129,12643.14561904762
11595.077,11688.98,11656.781,11972.086,12275.34,12401.864,12073.43,11929.445,12540.001,12700.473,12807.939,12246.242,12330.473,12496.525,12540.454,12788.625,14918.42,12629.157,12680.173,12278.583,12479.073,12429.959095238097
11311.474,11513.294,11467.052,11886.596,11949.78,12354.88,11925.375,11895.475,12360.221,12255.516,12471.803,11915.525,12236.686,12324.314,12239.565,12524.52,14665.656,12459.763,12527.638,12278.427,12202.352,12226.94819047619
11094.782,11372.238,11211.405,11600.725,11820.682,11956.427,11863.14,11615.431,12031.762,12047.813,12299.461,11924.966,11996.169,12162.917,12068.956,12433.664,14302.535,12217.581,12239.058,12029.969,11950.788,12011.450904761903
10807.759,11126.1,11102.352,11358.862,11819.442,11914.34,11593.521,11378.569,11995.597,11868.777,12119.707,11757.882,11833.993,11895.47,11948.765,12087.533,14142.408,11922.001,11938.857,11832.486,11718.046,11817.260333333332
10636.791,10789.544,10831.833,11291.548,11548.159,11608.074,11629.794,11277.553,11837.562,11643.587,11882.646,11580.526,11649.768,11707.306,11561.938,11988.365,12882.43,11727.967,11836.387,11631.144,11481.192,11572.576857142858
