P-JW1-MON,P-JW1-TUE,P-JW1-WED,P-JW1-THU,P-JW1-FRI,P-JW1-SAT,P-JW1-SUN,P-JW2-MON,P-JW2-TUE,P-JW2-WED,P-JW2-THU,P-JW2-FRI,P-JW2-SAT,P-JW2-SUN,P-JW3-MON,P-JW3-TUE,P-JW3-WED,P-JW3-THU,P-JW3-FRI,P-JW3-SAT,P-JW3-SUN,P-JW4-MON,P-JW4-TUE,P-JW4-WED,P-JW4-THU,P-JW4-FRI,P-JW4-SAT,P-JW4-SUN,Euclidean Barycenter
14879.241,15037.947,13852.449,14778.041,15178.088,14886.413,14089.563,14657.937,14788.171,15146.745,14243.654,15097.165,14719.575,14060.109,15288.792,15377.015,14536.748,14944.849,14773.875,13877.343,13664.174,15269.127,14939.477,15036.858,14905.039,15024.709,11681.633,11337.031,14502.563142857141
14937.277,15164.57,13886.429,14666.374,15072.632,14807.391,14130.952,14675.974,14573.509,15148.28,14034.431,14925.414,14657.27,14097.068,15194.716,15307.565,14303.489,14875.355,14774.819,13686.285,13684.579,15098.293,14834.521,14914.371,14787.742,14997.046,11539.115,11638.93,14443.37132142857
14788.248,15092.619,13903.605,14671.88,14949.174,14753.294,14190.503,14649.043,14654.039,15273.575,14327.669,14952.568,14717.951,13811.738,15113.452,15159.908,14273.514,14791.952,14693.663,13798.192,13868.507,15017.999,14810.813,14851.989,14765.407,15080.806,11539.551,11508.493,14428.934
14862.032,15129.731,14068.759,14842.155,14928.226,14540.242,14313.561,14525.398,14536.799,15354.932,14190.098,14899.081,14637.693,14022.844,15236.736,15378.491,14158.934,14809.42,14672.568,13704.386,13866.505,15051.294,14847.472,14898.572,14901.028,15124.944,11487.781,11497.56,14445.972928571431
14692.458,15119.063,14187.792,14841.717,14840.296,14580.524,14058.006,14491.008,14546.226,15226.361,14183.681,14798.974,14584.619,13900.539,15164.246,15268.999,14057.362,14770.21,14691.438,13745.627,13759.522,15015.596,14963.579,14780.031,14782.581,15169.3,11476.894,11523.951,14400.735714285718
14848.513,15017.635,14265.217,14773.837,15116.318,14757.09,14085.164,14436.086,14616.376,15349.439,14170.778,14832.272,14561.162,13745.843,15294.502,15320.175,14265.72,14896.768,14673.181,13714.042,13769.461,15011.818,14783.579,15062.003,14815.298,15044.577,11543.437,11370.469,14433.598571428573
14879.421,15009.102,14346.708,14737.823,15116.062,14686.494,13957.446,14435.93,14671.125,15296.776,14215.508,14754.843,14408.28,13838.619,15134.31,15349.623,14135.822,14744.208,14670.439,13673.982,13760.318,15115.206,14904.917,14832.7,14760.563,14969.83,11658.617,11455.143,14411.421964285719
15050.461,14818.919,14199.625,14548.062,14997.529,14698.869,14020.693,14397.156,14750.068,15182.127,14133.861,14612.254,14247.159,13680.265,14835.189,15127.585,14181.232,14637.344,14725.52,13556.803,13732.371,15127.024,14744.747,14711.267,14528.112,14740.785,11562.535,11300.981,14316.01939285714
14653.798,14505.944,14224.14,14266.285,14925.286,14626.896,13921.7,14073.693,14344.395,14704.54,13797.959,14432.182,14340.377,13835.481,14576.472,14842.549,14129.355,14420.508,14282.963,13506.466,13475.215,14759.535,14583.576,14522.566,14362.011,14667.312,11434.218,11265.063,14124.303035714287
14409.46,14449.446,14089.016,14137.855,14611.033,14493.992,13995.745,13932.315,14257.47,14444.12,13548.299,14389.955,14121.839,13598.868,14380.636,14585.066,13957.622,14268.083,13888.611,13482.638,13498.581,14637.894,14383.253,14198.193,14248.326,14387.83,11410.564,11267.211,13966.92575
14380.9,14627.242,14067.567,13958.34,14487.792,14451.407,13857.916,13764.785,14022.738,14238.168,13730.313,14242.036,14174.832,13606.007,14179.157,14337.142,13797.884,14067.605,14061.707,13517.192,13575.467,14422.829,14200.489,13846.711,13929.878,14320.187,11396.65,11096.569,13869.982500000002
14364.987,14374.17,14261.549,14005.467,14307.538,14404.534,13841.69,13779.032,13886.117,14256.935,13813.169,14099.548,14287.985,13640.029,13937.768,14524.46,13693.962,14172.064,13747.187,13557.622,13356.275,14275.969,14133.248,13618.446,13763.322,14352.029,11455.896,11147.622,13823.522142857142
14459.701,14399.09,14325.928,14015.486,14492.689,14520.372,13820.456,13796.383,14073.091,14345.469,14090.187,14171.054,14207.61,13633.275,14119.009,14298.412,13752.806,14186.964,13928.53,13583.17,13456.407,14204.072,14264.165,13848.098,13868.643,14337.635,11515.035,11007.083,13882.886428571426
14594.333,14530.039,14703.112,14332.989,14722.74,14717.247,13899.026,14155.061,14314.761,14565.408,14369.331,14415.029,14303.425,13781.68,14145.578,14565.765,13951.858,14106.055,14020.525,13794.702,13250.669,14339.744,14359.567,13695.725,13952.297,14360.766,11461.703,11152.698,14020.065464285713
15137.035,15233.451,15090.564,14919.568,15499.289,14834.795,14326.177,14728.852,14693.298,15287.259,14732.6,14712.493,14678.755,14280.977,14500.014,14871.645,14333.7,14604.685,14370.96,13993.298,13730.106,14585.597,14955.2,14525.643,14377.846,14641.168,11687.387,11400.562,14454.747285714288
16215.02,16335.118,15939.845,15849.624,16070.882,15536.508,15214.123,15849.585,15614.398,16134.015,15332.53,15570.806,15220.414,14768.954,15319.026,15945.693,15368.862,15501.478,15331.194,14464.148,14101.442,15513.408,15460.528,15088.855,14927.549,15307.897,12096.845,11802.764,15210.053964285713
16835.727,17127.36,16754.518,16669.622,16557.333,16324.705,15870.478,16275.189,16333.522,17040.426,16242.824,16290.11,16211.89,15729.881,16337.006,16702.479,16220.302,16459.402,16215.345,15483.685,15237.204,16493.566,16625.553,16517.033,16166.684,16297.85,12655.517,12420.48,16074.846107142857
16933.093,17418.888,17059.4,16810.468,16777.237,16356.181,16260.808,16725.613,16593.805,17378.23,16263.211,16624.648,16206.473,16069.504,16716.416,17158.175,16659.718,16957.312,16275.822,15640.689,15595.921,16754.568,17139.499,16878.134,16744.636,16775.701,13180.651,12800.484,16384.117321428574
17056.549,17553.198,16927.458,16953.304,16813.864,16441.77,16267.956,16818.072,16805.135,17378.874,16401.449,16670.416,16260.736,16071.204,16849.4,17307.567,16675.646,16837.435,16295.626,15742.031,15797.845,16800.47,17071.64,17211.226,16798.291,16949.462,12913.443,13120.381,16456.801714285717
17168.626,17388.733,17050.326,16905.079,16860.62,16622.67,16380.634,16975.005,16649.611,17256.47,16487.587,16665.278,16418.014,16160.175,16995.276,17200.508,16635.375,17033.151,16420.965,15632.7,15728.109,17134.403,17068.279,17203.345,16736.931,16933.546,12950.139,12839.182,16482.16917857143
17336.589,17435.871,16992.212,17076.882,17157.033,16572.375,16166.938,17065.126,16790.482,17386.737,16668.773,16710.554,16182.44,16305.723,17001.464,17153.533,16715.416,17002.702,16315.735,15829.971,15846.324,16929.465,17355.271,17217.947,16755.146,16786.988,13135.923,13069.389,16534.393178571434
17286.239,17580.408,17164.5,17007.827,17042.917,16567.951,16473.272,16947.681,16653.059,17398.557,16746.755,16678.695,16299.625,16128.012,16789.028,17143.202,16664.928,17176.302,16377.987,15659.041,16238.951,17071.998,17445.954,17305.336,16925.583,16786.401,12944.687,13004.877,16553.92046428572
17258.697,17593.007,17053.032,17133.345,17037.14,16303.793,16164.589,16773.041,16626.063,17356.399,16615.672,16351.457,15885.716,16190.498,16894.78,17263.735,16430.137,16895.911,16414.631,15670.434,16096.841,16916.853,17323.374,17214.17,16924.551,16531.975,12960.415,13020.329,16460.735178571427
17056.704,17595.77,16602.814,17059.704,16878.883,16349.578,16456.926,16836.581,16651.36,16899.623,16367.298,16558.403,15933.298,16103.194,16906.77,17153.456,16298.228,16899.243,16223.978,15368.225,15926.743,17014.943,17095.726,16761.959,16717.094,16413.298,12680.88,12858.105,16345.313714285712
17066.041,17391.976,16680.874,16820.688,16946.237,16111.938,16255.417,16853.163,16402.198,16955.545,16302.854,16268.424,15976.921,15968.526,16721.038,16940.264,16071.582,16735.14,16343.748,15459.461,15865.819,16868.646,16934.078,16759.708,16791.62,16340.095,12749.5,12778.23,16262.847535714285
16702.279,17194.331,16439.306,16596.07,16738.92,16353.51,16325.909,16535.123,16220.7,16947.077,16407.346,16033.52,15800.367,15905.638,16563.786,16909.514,15865.17,16536.604,16178.966,15394.557,15922.514,16660.758,16850.875,16738.669,16412.828,16183.669,12669.677,12857.822,16140.91089285714
