,Q-JW1-MON,Q-JW1-TUE,Q-JW1-WED,Q-JW1-THU,Q-JW1-FRI,Q-JW1-SAT,Q-JW1-SUN,Q-JW2-MON,Q-JW2-TUE,Q-JW2-WED,Q-JW2-THU,Q-JW2-FRI,Q-JW2-SAT,Q-JW2-SUN,Q-JW3-MON,Q-JW3-TUE,Q-JW3-WED,Q-JW3-THU,Q-JW3-FRI,Q-JW3-SAT,Q-JW3-SUN,Q-JW4-MON,Q-JW4-TUE,Q-JW4-WED,Q-JW4-THU,Q-JW4-FRI,Q-JW4-SAT,Q-JW4-SUN
16:45:00,3764.362,4040.761,3728.681,3692.652,3984.843,4073.961,3558.891,3885.705,3951.023,3854.598,3549.341,3885.586,3649.033,3281.619,3928.473,3823.924,3952.81,3949.632,3893.251,3321.085,3393.194,3958.999,4001.606,3875.521,3875.284,3959.66,2795.98,2750.497
17:00:00,3721.191,4045.416,3735.401,3558.604,3933.687,3994.346,3432.143,3643.593,3553.28,3806.911,3620.278,3700.566,3677.277,3263.695,3791.281,3742.369,3777.885,3849.343,3930.912,3300.599,3435.219,3912.535,3865.331,3691.121,3756.469,3911.064,2819.752,2707.835
17:15:00,3637.158,3965.293,3688.963,3563.775,3868.507,3868.981,3419.256,3685.43,3495.587,3686.422,3578.924,3694.461,3688.821,3272.076,3619.595,3850.786,3636.264,3873.907,3900.477,3372.443,3363.386,3922.272,3884.682,3660.604,3639.634,3961.664,2836.948,2756.547
17:30:00,3664.665,3858.91,3729.757,3531.622,3891.177,3869.07,3434.396,3603.743,3477.813,3671.465,3583.698,3699.364,3722.047,3367.643,3582.963,3804.92,3697.456,3873.303,3814.04,3282.791,3346.756,3768.092,3867.21,3634.829,3624.354,3933.327,2855.338,2337.86
17:45:00,3613.843,3801.605,3691.349,3573.496,3849.213,3693.865,3395.984,3597.085,3406.695,3662.17,3574.472,3635.477,3619.222,3339.158,3544.61,3750.049,3586.932,3507.08,3538.803,3297.052,3229.559,3751.106,3772.304,3521.447,3547.149,3812.856,2705.581,2337.359
18:00:00,3746.187,4058.437,3802.189,3643.411,3913.844,3704.019,3460.546,3711.458,3474.268,3810.739,3636.542,3587.364,3724.923,3383.367,3555.735,3766.492,3661.804,3620.804,3632.039,3439.68,3305.691,3890.977,3816.878,3656.169,3590.527,3872.954,2735.386,2443.5
18:15:00,4054.575,4247.955,4089.598,3899.877,4043.644,3956.005,3862.283,4052.112,3771.993,4086.323,3768.843,4011.696,3936.986,3447.73,3801.65,4082.176,3901.765,3898.786,3933.793,3495.89,3384.583,3957.913,3854.038,3755.462,3824.926,3996.247,2820.048,2592.378
18:30:00,4118.344,4433.923,4141.332,4013.227,4260.104,4034.263,3888.456,4056.558,3930.053,4235.764,4032.821,4099.171,4119.77,3951.56,4069.959,4197.212,4051.609,4117.411,4063.301,3921.838,3788.657,4261.187,4398.867,4277.197,4160.456,4319.37,3085.464,2973.395
18:45:00,4055.543,4529.884,4142.533,4020.634,4194.525,3974.612,3970.997,4079.621,3902.978,4317.106,3912.786,4148.556,4039.69,3914.952,4254.474,4222.971,3971.641,4144.644,3956.122,3709.511,3744.747,4140.986,4386.414,4151.122,4047.026,4262.384,3093.726,3053.708
19:00:00,4088.521,4360.853,4109.348,3996.113,4181.468,3933.775,3958.046,3991.075,3920.208,4281.495,3910.823,4097.544,3936.551,3886.608,4105.634,4149.759,3974.421,4069.683,3823.447,3709.856,3771.419,4170.462,4233.584,4221.307,4126.536,4303.699,2887.964,3033.951
