,Q-FW1-MON,Q-FW1-TUE,Q-FW1-WED,Q-FW1-THU,Q-FW1-FRI,Q-FW1-SAT,Q-FW1-SUN,Q-FW2-MON,Q-FW2-TUE,Q-FW2-WED,Q-FW2-THU,Q-FW2-FRI,Q-FW2-SAT,Q-FW2-SUN,Q-FW3-MON,Q-FW3-TUE,Q-FW3-WED,Q-FW3-THU,Q-FW3-FRI,Q-FW3-SAT,Q-FW3-SUN
18:15:00,2812.507,2825.879,2881.402,3123.58,2679.179,2832.413,2644.563,2619.715,2710.595,3134.64,3192.527,2953.344,3003.817,2772.135,2968.725,2966.678,3430.393,3146.896,3125.361,3054.615,2889.593
18:30:00,3034.64,3291.598,3217.881,3283.02,2999.293,2938.988,2922.681,2890.936,2945.138,3261.965,3344.002,3194.026,3023.766,3150.047,3343.439,3380.823,3725.784,3439.623,3186.587,3252.867,3147.32
18:45:00,3054.767,3222.798,3240.099,3277.203,3016.024,3168.931,3030.838,2954.099,2923.397,3397.85,3543.621,3385.2,3208.82,3089.041,3363.016,3270.238,3741.723,3593.531,3405.161,3482.884,3323.164
19:00:00,2990.514,3307.925,3330.362,3316.055,2876.267,3149.638,3051.437,2923.698,2908.925,3343.64,3510.047,3337.506,3180.559,3134.652,3319.12,3448.29,3754.106,3619.691,3401.955,3426.388,3269.142
19:15:00,3038.938,3214.996,3256.471,3275.082,2883.795,3190.017,3034.638,2888.071,2912.32,3356.346,3496.582,3288.906,3098.715,3147.859,3380.048,3397.006,3675.053,3460.969,3403.994,3341.173,3248.306
19:30:00,2959.33,3198.732,3126.473,3254.037,2853.282,3138.856,3030.626,2849.706,2913.603,3359.146,3401.983,3276.013,3102.777,3075.374,3335.997,3360.754,3573.235,3494.205,3360.258,3372.309,3147.989
19:45:00,2913.708,3222.045,3178.166,3163.423,2869.524,3198.775,2943.173,2811.639,2878.639,3332.15,3375.314,3228.303,3107.359,3040.521,3346.791,3282.178,3511.562,3484.174,3323.141,3250.406,3106.834
20:00:00,2927.077,3234.967,3131.831,3234.324,2839.893,3161.353,2933.131,2897.343,2838.774,3319.909,3395.755,3110.781,3112.327,3014.444,3323.836,3412.78,3525.586,3511.714,3376.208,3229.344,3107.913
20:15:00,2896.828,3227.005,3200.997,3138.913,2850.895,3229.904,3015.099,2883.574,2893.702,3316.783,3337.735,3166.337,3116.736,3044.585,3319.714,3400.877,3595.049,3388.115,3400.431,3142.149,3152.842
20:30:00,2929.584,3176.512,2878.236,3149.842,2905.481,3131.207,2511.723,2854.384,2841.695,3277.592,3284.628,3177.759,3100.578,3086.878,3269.67,3365.694,3630.235,3230.26,3365.724,3145.357,3166.535
20:45:00,2902.949,2776.751,2852.567,3081.641,2842.926,2676.088,2898.326,2915.379,2859.328,3265.467,3302.296,3203.185,3148.936,3114.408,3272.235,3212.429,3631.22,3241.188,3134.372,3198.439,3070.269
